ID,name,full_name,nationality,league,club,age,birth_date,height_cm,weight_kg,eur_value,eur_wage
216475,Morales,José Luis Morales Nogales,Spain,Spanish Primera División,Levante UD,29,1987-07-23,180.0,70.0,10000000.0,28000.0
216189,Capa,Ander Capa Rodríguez,Spain,Spanish Primera División,SD Eibar,25,1992-05-14,173.0,70.0,11500000.0,21000.0
216065,M. Sportiello,Marco Sportiello,Italy,Italian Serie A,Fiorentina,25,1992-05-10,192.0,87.0,9500000.0,22000.0
215353,L. Alario,Lucas Alario,Argentina,German Bundesliga,Bayer 04 Leverkusen,24,1992-10-08,184.0,79.0,14000000.0,50000.0
215333,D. Zapata,Duván Zapata,Colombia,Italian Serie A,Sampdoria,26,1991-04-01,189.0,88.0,13000000.0,67000.0
215061,D. Benedetto,Darío Benedetto,Argentina,Argentinian Superliga,Boca Juniors,27,1990-05-17,175.0,75.0,12000000.0,29000.0
215051,L. López,Lisandro López,Argentina,Portuguese Primeira Liga,SL Benfica,27,1989-09-01,188.0,82.0,10000000.0,13000.0
214977,M. Kranevitter,Matías Kranevitter,Argentina,Russian Premier League,Zenit St. Petersburg,24,1993-05-21,179.0,75.0,12500000.0,48000.0
213582,A. Ruiz,Alan Ruiz,Argentina,Portuguese Primeira Liga,Sporting CP,23,1993-08-19,183.0,77.0,14500000.0,18000.0
213400,D. Laxalt,Diego Laxalt,Uruguay,Italian Serie A,Genoa,24,1993-02-07,178.0,68.0,13500000.0,30000.0
213135,D. Origi,Divock Origi,Belgium,German Bundesliga,VfL Wolfsburg,22,1995-04-18,185.0,75.0,15000000.0,92000.0
212977,N. Stark,Niklas Stark,Germany,German Bundesliga,Hertha BSC Berlin,22,1995-04-14,190.0,81.0,12500000.0,25000.0
212911,Hernâni,Hernâni Jorge Santos Fortes,Portugal,Portuguese Primeira Liga,FC Porto,25,1991-08-20,178.0,69.0,12500000.0,15000.0
212230,Iuri Medeiros,Iuri José Picanço Medeiros,Portugal,Portuguese Primeira Liga,Sporting CP,22,1994-07-10,174.0,64.0,14500000.0,16000.0
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,Portugal,Portuguese Primeira Liga,Sporting CP,22,1994-09-08,179.0,69.0,14000000.0,16000.0
212153,R. Gagliardini,Roberto Gagliardini,Italy,Italian Serie A,Inter,23,1994-04-07,190.0,77.0,14500000.0,27000.0
211119,Pedro Santos,Pedro Miguel Martins Santos,Portugal,USA Major League Soccer,Columbus Crew SC,29,1988-04-22,173.0,65.0,10000000.0,11000.0
210930,Carles Gil,Carles Gil Pareja,Spain,Spanish Primera División,RC Deportivo de La Coruña,24,1992-11-02,170.0,65.0,14000000.0,23000.0
210679,Paulo Oliveira,Paulo André Rodrigues Oliveira,Portugal,Spanish Primera División,SD Eibar,26,1991-01-08,187.0,82.0,11000000.0,22000.0
210333,A. Szymanowski,Alexander Szymanowski,Argentina,Spanish Primera División,CD Leganés,28,1988-10-13,174.0,69.0,10500000.0,29000.0
210282,Bruno Peres,Bruno da Silva Peres,Brazil,Italian Serie A,Roma,27,1990-03-01,178.0,72.0,11000000.0,62000.0
209997,K. Wimmer,Kevin Wimmer,Austria,English Premier League,Stoke City,24,1992-11-15,187.0,85.0,12000000.0,53000.0
209989,T. Partey,Thomas Partey,Ghana,Spanish Primera División,Atlético Madrid,24,1993-06-13,185.0,75.0,12000000.0,41000.0
209307,Tiago Volpi,Tiago Luis Volpi,Brazil,Mexican Liga MX,Querétaro,26,1990-12-19,185.0,89.0,8500000.0,11000.0
208574,F. Kostić,Filip Kostić,Serbia,German Bundesliga,Hamburger SV,24,1992-11-01,184.0,82.0,14000000.0,33000.0
208450,Andreas Pereira,Andreas Hugo Hoelgebaum Pereira,Brazil,Spanish Primera División,Valencia CF,21,1996-01-01,178.0,71.0,15500000.0,86000.0
208230,A. Samaris,Andreas Samaris,Greece,Portuguese Primeira Liga,SL Benfica,28,1989-06-13,189.0,84.0,8500000.0,14000.0
208135,A. Doucouré,Abdoulaye Doucouré,France,English Premier League,Watford,24,1993-01-01,182.0,69.0,12000000.0,45000.0
207939,G. Pizarro,Guido Pizarro,Argentina,Spanish Primera División,Sevilla FC,27,1990-02-26,186.0,71.0,10000000.0,18000.0
207877,J. Martínez,Josef Martínez,Venezuela,USA Major League Soccer,Atlanta United FC,24,1993-05-19,170.0,69.0,13500000.0,10000.0
207862,M. Ginter,Matthias Ginter,Germany,German Bundesliga,Borussia Mönchengladbach,23,1994-01-19,188.0,83.0,11500000.0,30000.0
207494,J. Lingard,Jesse Lingard,England,English Premier League,Manchester United,24,1992-12-15,175.0,62.0,13000000.0,95000.0
206591,M. Weiser,Mitchell Weiser,Germany,German Bundesliga,Hertha BSC Berlin,23,1994-04-21,176.0,67.0,12000000.0,25000.0
206225,D. Cheryshev,Denis Cheryshev,Russia,Spanish Primera División,Villarreal CF,26,1990-12-26,179.0,74.0,12000000.0,35000.0
206222,Bigas,Pedro Bigas Rigo,Spain,Spanish Primera División,UD Las Palmas,26,1990-09-15,181.0,78.0,11000000.0,22000.0
206198,D. Heintz,Dominique Heintz,Germany,German Bundesliga,1. FC Köln,23,1993-08-15,189.0,87.0,11500000.0,30000.0
205633,L. Castro,Lucas Castro,Argentina,Italian Serie A,Chievo Verona,28,1989-04-09,180.0,80.0,10500000.0,22000.0
205569,J. Ward-Prowse,James Ward-Prowse,England,English Premier League,Southampton,22,1994-11-01,173.0,66.0,15000000.0,68000.0
205114,T. Inui,Takashi Inui,Japan,Spanish Primera División,SD Eibar,29,1988-06-04,169.0,63.0,10000000.0,25000.0
204923,M. Sabitzer,Marcel Sabitzer,Austria,German Bundesliga,RB Leipzig,23,1994-03-17,177.0,74.0,13500000.0,53000.0
204884,B. Mendy,Benjamin Mendy,France,English Premier League,Manchester City,22,1994-07-17,185.0,85.0,13000000.0,86000.0
204838,R. Jiménez,Raúl Jiménez,Mexico,Portuguese Primeira Liga,SL Benfica,26,1991-05-05,187.0,81.0,12500000.0,16000.0
204819,E. Sala,Emiliano Sala,Argentina,French Ligue 1,FC Nantes,26,1990-10-31,187.0,75.0,12500000.0,30000.0
204240,B. Reynet,Baptiste Reynet,France,French Ligue 1,Dijon FCO,26,1990-10-28,185.0,85.0,8500000.0,17000.0
204077,M. Niang,M'Baye Niang,France,Italian Serie A,Torino,22,1994-12-19,184.0,78.0,14500000.0,84000.0
203980,K. Fortounis,Konstantinos Fortounis,Greece,Greek Super League,Olympiakos CFP,24,1992-10-16,183.0,70.0,13500000.0,1000.0
203895,Pozuelo,Alejandro Pozuelo Melero,Spain,Belgian First Division A,KRC Genk,25,1991-09-20,172.0,73.0,13000000.0,19000.0
203627,Joãozinho,João Natailton Ramos dos Santos,Brazil,Russian Premier League,FC Krasnodar,28,1988-12-25,166.0,61.0,10500000.0,47000.0
203605,P. Kadeřábek,Pavel Kadeřábek,Czech Republic,German Bundesliga,TSG 1899 Hoffenheim,25,1992-04-25,182.0,81.0,11000000.0,33000.0
203535,T. Vilhena,Tonny Vilhena,Netherlands,Holland Eredivisie,Feyenoord,22,1995-01-03,175.0,75.0,13500000.0,17000.0
203362,M. Elyounoussi,Mohamed Elyounoussi,Norway,Swiss Super League,FC Basel,22,1994-08-04,178.0,70.0,14000000.0,36000.0
203106,L. Bittencourt,Leonardo Bittencourt,Germany,German Bundesliga,1. FC Köln,23,1993-12-19,171.0,63.0,13500000.0,33000.0
202849,J. Vestergaard,Jannik Vestergaard,Denmark,German Bundesliga,Borussia Mönchengladbach,24,1992-08-03,199.0,98.0,12000000.0,30000.0
202648,Sergi Darder,Sergi Darder Moll,Spain,Spanish Primera División,RCD Espanyol,23,1993-12-22,180.0,71.0,14000000.0,54000.0
202325,D. Demme,Diego Demme,Germany,German Bundesliga,RB Leipzig,25,1991-11-21,170.0,68.0,11000000.0,53000.0
201878,V. Eysseric,Valentin Eysseric,France,Italian Serie A,Fiorentina,25,1992-03-25,181.0,73.0,12500000.0,64000.0
201508,G. Ramírez,Gastón Ramírez,Uruguay,Italian Serie A,Sampdoria,26,1990-12-02,183.0,77.0,13000000.0,39000.0
201505,David López,David López Silva,Spain,Spanish Primera División,RCD Espanyol,27,1989-10-09,183.0,81.0,8500000.0,28000.0
201455,G. Kondogbia,Geoffrey Kondogbia,France,Spanish Primera División,Valencia CF,24,1993-02-15,188.0,80.0,11500000.0,48000.0
201325,C. Tătăruşanu,Ciprian Tătăruşanu,Romania,French Ligue 1,FC Nantes,31,1986-02-09,196.0,86.0,6500000.0,20000.0
201144,M. Badelj,Milan Badelj,Croatia,Italian Serie A,Fiorentina,28,1989-02-25,186.0,76.0,10500000.0,64000.0
201143,A. Mandi,Aïssa Mandi,Algeria,Spanish Primera División,Real Betis Balompié,25,1991-10-22,184.0,78.0,11500000.0,23000.0
201119,Ismaily,Ismaily Gonçalves dos S.,Brazil,Ukrainian Premier League,Shakhtar Donetsk,27,1990-01-11,177.0,78.0,8500000.0,1000.0
201095,A. Marchesín,Agustín Marchesín,Argentina,Mexican Liga MX,Club América,29,1988-03-16,188.0,85.0,8000000.0,45000.0
201013,L. Teodorczyk,Łukasz Teodorczyk,Poland,Belgian First Division A,RSC Anderlecht,26,1991-06-03,188.0,86.0,12500000.0,29000.0
200798,Marafona,José Carlos Coentrão Marafona,Portugal,Portuguese Primeira Liga,SC Braga,30,1987-05-08,190.0,86.0,6500000.0,11000.0
200726,B. Lecomte,Benjamin Lecomte,France,French Ligue 1,Montpellier Hérault SC,26,1991-04-26,186.0,78.0,9500000.0,22000.0
200529,N. Chadli,Nacer Chadli,Belgium,English Premier League,West Bromwich Albion,27,1989-08-02,187.0,80.0,11000000.0,68000.0
200318,M. Uth,Mark Uth,Germany,German Bundesliga,TSG 1899 Hoffenheim,25,1991-08-24,185.0,74.0,13000000.0,40000.0
200215,S. Rode,Sebastian Rode,Germany,German Bundesliga,Borussia Dortmund,26,1990-10-11,179.0,75.0,10500000.0,50000.0
199767,M. van Ginkel,Marco van Ginkel,Netherlands,Holland Eredivisie,PSV,24,1992-12-01,186.0,82.0,13500000.0,89000.0
199626,André André,André Filipe Brás André,Portugal,Portuguese Primeira Liga,FC Porto,27,1989-08-26,174.0,65.0,10500000.0,16000.0
199304,Danilo,Danilo Luiz da Silva,Brazil,English Premier League,Manchester City,25,1991-07-15,184.0,78.0,10500000.0,95000.0
199069,V. Aboubakar,Vincent Aboubakar,Cameroon,Portuguese Primeira Liga,FC Porto,25,1992-01-22,184.0,82.0,13500000.0,17000.0
199042,C. Aránguiz,Charles Aránguiz,Chile,German Bundesliga,Bayer 04 Leverkusen,28,1989-04-17,171.0,71.0,10500000.0,54000.0
198706,Luis Alberto,Luis Alberto Romero Alconchel,Spain,Italian Serie A,Lazio,24,1992-09-28,183.0,74.0,14000000.0,43000.0
198614,Raúl Navas,Raúl Rodríguez Navas,Spain,Spanish Primera División,Real Sociedad,29,1988-05-11,186.0,84.0,9000000.0,30000.0
198584,K. Mbodj,Kara Mbodj,Senegal,Belgian First Division A,RSC Anderlecht,27,1989-11-11,192.0,95.0,10000000.0,24000.0
198329,Rodrigo,Rodrigo Moreno Machado,Spain,Spanish Primera División,Valencia CF,26,1991-03-06,182.0,77.0,13000000.0,36000.0
198140,R. Funes Mori,Rogelio Funes Mori,Argentina,Mexican Liga MX,Monterrey,26,1991-03-05,184.0,81.0,13000000.0,63000.0
197225,N. Lodeiro,Nicolás Lodeiro,Uruguay,USA Major League Soccer,Seattle Sounders FC,28,1989-03-21,170.0,69.0,10500000.0,11000.0
197083,D. Caligiuri,Daniel Caligiuri,Italy,German Bundesliga,FC Schalke 04,29,1988-01-15,182.0,80.0,10000000.0,42000.0
196889,S. Verdi,Simone Verdi,Italy,Italian Serie A,Bologna,24,1992-07-12,171.0,61.0,13000000.0,52000.0
196432,E. Pérez,Enzo Pérez,Argentina,Argentinian Superliga,River Plate,31,1986-02-22,178.0,77.0,9000000.0,25000.0
196150,T. Gutiérrez,Teófilo Gutiérrez,Colombia,Colombian Primera A,CPD Junior Barranquilla,32,1985-05-17,178.0,82.0,8500000.0,6000.0
195671,C. Austin,Charlie Austin,England,English Premier League,Southampton,27,1989-07-05,188.0,84.0,11000000.0,85000.0
194996,Borja Bastón,Borja González Tomás,Spain,Spanish Primera División,Málaga CF,24,1992-08-25,191.0,82.0,14000000.0,65000.0
194932,A. Townsend,Andros Townsend,England,English Premier League,Crystal Palace,25,1991-07-16,181.0,73.0,12500000.0,55000.0
194845,W. Khazri,Wahbi Khazri,Tunisia,French Ligue 1,Stade Rennais FC,26,1991-02-08,182.0,76.0,12000000.0,14000.0
193601,G. Pezzella,Germán Pezzella,Argentina,Italian Serie A,Fiorentina,26,1991-06-27,186.0,81.0,11500000.0,24000.0
193584,G. Burgstaller,Guido Burgstaller,Austria,German Bundesliga,FC Schalke 04,28,1989-04-29,187.0,80.0,10500000.0,46000.0
193283,T. Delaney,Thomas Delaney,Denmark,German Bundesliga,SV Werder Bremen,25,1991-09-03,182.0,77.0,13000000.0,30000.0
192991,C. Tosun,Cenk Tosun,Turkey,Turkish Süper Lig,Beşiktaş JK,26,1991-06-07,183.0,78.0,12500000.0,56000.0
192984,K. Casteels,Koen Casteels,Belgium,German Bundesliga,VfL Wolfsburg,25,1992-06-25,197.0,86.0,9000000.0,42000.0
192841,E. Giaccherini,Emanuele Giaccherini,Italy,Italian Serie A,Napoli,32,1985-05-05,167.0,60.0,8000000.0,67000.0
192722,R. Hamouma,Romain Hamouma,France,French Ligue 1,AS Saint-Étienne,30,1987-03-29,178.0,76.0,10000000.0,42000.0
192620,H. Badstuber,Holger Badstuber,Germany,German Bundesliga,VfB Stuttgart,28,1989-03-13,189.0,83.0,8500000.0,28000.0
192557,M. Plattenhardt,Marvin Plattenhardt,Germany,German Bundesliga,Hertha BSC Berlin,25,1992-01-26,181.0,76.0,10500000.0,28000.0
192476,Fontàs,Andreu Fontàs Prat,Spain,Spanish Primera División,RC Celta de Vigo,27,1989-11-14,186.0,89.0,10000000.0,24000.0
191032,G. Töre,Gökhan Töre,Turkey,Turkish Süper Lig,Beşiktaş JK,25,1992-01-20,176.0,70.0,12500000.0,49000.0
190799,C. Borges,Celso Borges,Costa Rica,Spanish Primera División,RC Deportivo de La Coruña,29,1988-05-27,182.0,76.0,8000000.0,26000.0
190531,E. Mangala,Eliaquim Mangala,France,English Premier League,Manchester City,26,1991-02-13,187.0,84.0,11000000.0,100000.0
190507,Etxeita,Xabier Etxeita Gorritxat.,Spain,Spanish Primera División,Athletic Club de Bilbao,29,1987-10-31,185.0,79.0,8000000.0,26000.0
189682,B. Mee,Ben Mee,England,English Premier League,Burnley,27,1989-09-23,180.0,74.0,10000000.0,53000.0
189681,Rafael,Rafael Pereira da Silva,Brazil,French Ligue 1,Olympique Lyonnais,26,1990-07-09,172.0,78.0,9000000.0,57000.0
189606,J. Baumgartlinger,Julian Baumgartlinger,Austria,German Bundesliga,Bayer 04 Leverkusen,29,1988-01-02,183.0,82.0,8000000.0,50000.0
189506,Victor Sánchez,Victor Sánchez Mata,Spain,Spanish Primera División,RCD Espanyol,29,1987-09-08,174.0,72.0,8000000.0,30000.0
189423,Souza,Josef de Souza Dias,Brazil,Turkish Süper Lig,Fenerbahçe SK,28,1989-02-11,188.0,80.0,9500000.0,63000.0
189354,Susaeta,Markel Susaeta Laskurain,Spain,Spanish Primera División,Athletic Club de Bilbao,29,1987-12-14,179.0,68.0,10000000.0,30000.0
189296,E. Berisha,Etrit Berisha,Albania,Italian Serie A,Atalanta,28,1989-03-10,194.0,92.0,8500000.0,24000.0
189157,Y. Bolasie,Yannick Bolasie,DR Congo,English Premier League,Everton,28,1989-05-24,188.0,84.0,10500000.0,105000.0
188879,A. N'Diaye,Alfred N'Diaye,Senegal,English Championship,Wolverhampton Wanderers,27,1990-03-06,187.0,82.0,10000000.0,32000.0
188840,Miguel Lopes,Hugo Miguel Almeida Costa Lopes,Portugal,Turkish Süper Lig,Akhisar Belediyespor,30,1986-12-19,182.0,83.0,7500000.0,20000.0
188829,N. Nkoulou,Nicolas Nkoulou,Cameroon,Italian Serie A,Torino,27,1990-03-27,184.0,77.0,10000000.0,57000.0
188427,S. Lulić,Senad Lulić,Bosnia Herzegovina,Italian Serie A,Lazio,31,1986-01-18,183.0,78.0,9000000.0,50000.0
188268,L. Acosta,Lautaro Acosta,Argentina,Argentinian Superliga,Club Atlético Lanús,29,1988-03-14,169.0,67.0,10000000.0,23000.0
188135,Juanfran,Juan Francisco Moreno Fuertes,Spain,Spanish Primera División,RC Deportivo de La Coruña,28,1988-09-11,180.0,69.0,8000000.0,26000.0
188103,Rochina,Rubén Rochina Naixes,Spain,Russian Premier League,Rubin Kazan,26,1991-03-23,182.0,76.0,12500000.0,48000.0
187736,P. Mamaev,Pavel Mamaev,Russia,Russian Premier League,FC Krasnodar,28,1988-09-17,178.0,70.0,10500000.0,51000.0
187702,O. El Kaddouri,Omar El Kaddouri,Morocco,Greek Super League,PAOK Thessaloniki,26,1990-08-21,185.0,74.0,12000000.0,1000.0
187607,A. Dzyuba,Artem Dzyuba,Russia,Russian Premier League,Zenit St. Petersburg,28,1988-08-22,196.0,91.0,10500000.0,70000.0
187366,D. Glushakov,Denis Glushakov,Russia,Russian Premier League,Spartak Moscow,30,1987-01-27,182.0,81.0,7500000.0,56000.0
187052,Y. M'Vila,Yann M'Vila,France,Russian Premier League,Rubin Kazan,27,1990-06-29,182.0,82.0,10500000.0,44000.0
186832,K. Asamoah,Kwadwo Asamoah,Ghana,Italian Serie A,Juventus,28,1988-12-09,173.0,75.0,8000000.0,89000.0
186805,J. Montero,Jefferson Montero,Ecuador,Spanish Primera División,Getafe CF,27,1989-09-01,172.0,74.0,11000000.0,68000.0
186581,K. Honda,Keisuke Honda,Japan,Mexican Liga MX,Pachuca,31,1986-06-13,182.0,76.0,9000000.0,38000.0
186345,K. Trippier,Kieran Trippier,England,English Premier League,Tottenham Hotspur,26,1990-09-19,178.0,72.0,10000000.0,76000.0
186302,E. Hernández,Elías Hernández,Mexico,Mexican Liga MX,Club León,29,1988-04-29,171.0,65.0,10000000.0,36000.0
186115,K. Gibbs,Kieran Gibbs,England,English Premier League,West Bromwich Albion,27,1989-09-26,179.0,70.0,8500000.0,62000.0
184134,Fernando,Fernando Reges,Brazil,Turkish Süper Lig,Galatasaray SK,29,1987-07-25,183.0,76.0,8000000.0,56000.0
183871,N. Müller,Nicolai Müller,Germany,German Bundesliga,Hamburger SV,29,1987-09-25,173.0,66.0,10000000.0,40000.0
183568,S. Langkamp,Sebastian Langkamp,Germany,German Bundesliga,Hertha BSC Berlin,29,1988-01-15,191.0,85.0,8000000.0,30000.0
183394,M. Sissoko,Moussa Sissoko,France,English Premier League,Tottenham Hotspur,27,1989-08-16,187.0,91.0,11000000.0,84000.0
183332,F. Bartels,Fin Bartels,Germany,German Bundesliga,SV Werder Bremen,30,1987-02-07,176.0,69.0,10000000.0,34000.0
183249,R. Bobadilla,Raúl Bobadilla,Paraguay,German Bundesliga,Borussia Mönchengladbach,30,1987-06-18,181.0,88.0,10000000.0,41000.0
183125,T. Deeney,Troy Deeney,England,English Premier League,Watford,29,1988-06-29,183.0,90.0,10500000.0,65000.0
182879,B. Dzsudzsák,Balázs Dzsudzsák,Hungary,,,30,1986-12-23,179.0,72.0,0.0,0.0
182862,M. Pereira,Maximiliano Pereira,Uruguay,Portuguese Primeira Liga,FC Porto,33,1984-06-08,173.0,73.0,4000000.0,15000.0
182836,A. Carroll,Andy Carroll,England,English Premier League,West Ham United,28,1989-01-06,193.0,79.0,10500000.0,105000.0
182744,J. Holebas,Jose Holebas,Greece,English Premier League,Watford,33,1984-06-27,185.0,81.0,4000000.0,53000.0
181262,M. Suchý,Marek Suchý,Czech Republic,Swiss Super League,FC Basel,29,1988-03-29,183.0,84.0,8000000.0,40000.0
180826,Luiz Adriano,Luiz Adriano Souza da Silva,Brazil,Russian Premier League,Spartak Moscow,30,1987-04-12,183.0,78.0,10000000.0,67000.0
180714,Guilherme,Guilherme Alvim Marinato,Russia,Russian Premier League,Lokomotiv Moscow,31,1985-12-12,197.0,78.0,6500000.0,33000.0
180283,Ki Sung Yueng,Sung Yueng Ki,Korea Republic,English Premier League,Swansea City,28,1989-01-24,186.0,79.0,10500000.0,71000.0
178625,Mosquera,Pedro Mosquera Parada,Spain,Spanish Primera División,RC Deportivo de La Coruña,29,1988-04-21,184.0,76.0,8000000.0,26000.0
178322,M. Layún,Miguel Layún,Mexico,Portuguese Primeira Liga,FC Porto,29,1988-06-25,179.0,69.0,8000000.0,15000.0
178160,T. Mangani,Thomas Mangani,France,French Ligue 1,Angers SCO,30,1987-04-29,183.0,79.0,9500000.0,28000.0
178085,Granero,Esteban Granero Molina,Spain,Spanish Primera División,RCD Espanyol,29,1987-07-02,180.0,78.0,10000000.0,33000.0
178031,P. Baysse,Paul Baysse,France,Spanish Primera División,Málaga CF,29,1988-05-18,185.0,85.0,8000000.0,26000.0
178007,Miguel Veloso,Miguel Luís Pinto Veloso,Portugal,Italian Serie A,Genoa,31,1986-05-11,180.0,79.0,7000000.0,32000.0
177983,C. Zapata,Cristian Zapata,Colombia,Italian Serie A,Milan,30,1986-09-30,186.0,78.0,7500000.0,80000.0
176930,M. Díaz,Marcelo Díaz,Chile,Mexican Liga MX,U.N.A.M.,30,1986-12-30,166.0,63.0,9500000.0,26000.0
176919,N. Guzmán,Nahuel Guzmán,Argentina,Mexican Liga MX,Tigres U.A.N.L.,31,1986-02-10,193.0,93.0,6500000.0,48000.0
176619,A. Ramos,Adrián Ramos,Colombia,Spanish Segunda División,Granada CF,31,1986-01-22,186.0,78.0,9500000.0,15000.0
175895,V. Odjidja-Ofoe,Vadis Odjidja-Ofoe,Belgium,Greek Super League,Olympiakos CFP,28,1989-02-21,183.0,79.0,10500000.0,1000.0
174549,M. Fernández,Matías Fernández,Chile,Mexican Liga MX,Necaxa,31,1986-05-15,178.0,72.0,9000000.0,17000.0
172049,E. Elia,Eljero Elia,Netherlands,Turkish Süper Lig,İstanbul Başakşehir FK,30,1987-02-13,179.0,77.0,10000000.0,32000.0
170815,S. Defour,Steven Defour,Belgium,English Premier League,Burnley,29,1988-04-15,175.0,72.0,10000000.0,60000.0
170369,G. dos Santos,Giovani dos Santos,Mexico,USA Major League Soccer,LA Galaxy,28,1989-05-11,175.0,74.0,10500000.0,12000.0
169706,J. Cork,Jack Cork,England,English Premier League,Burnley,28,1989-06-25,185.0,69.0,10500000.0,60000.0
147660,S. Ryzhikov,Sergey Ryzhikov,Russia,Russian Premier League,Rubin Kazan,36,1980-09-19,192.0,92.0,1400000.0,23000.0
153296,Y. Gourcuff,Yoann Gourcuff,France,French Ligue 1,Stade Rennais FC,30,1986-07-11,185.0,82.0,10000000.0,28000.0
124375,B. Yılmaz,Burak Yılmaz,Turkey,Turkish Süper Lig,Trabzonspor,31,1985-07-15,188.0,77.0,9500000.0,38000.0
161754,Javi García,Fran. Javier García Fernández,Spain,Spanish Primera División,Real Betis Balompié,30,1987-02-08,186.0,82.0,7500000.0,24000.0
169181,K. Vermeer,Kenneth Vermeer,Netherlands,Holland Eredivisie,Feyenoord,31,1986-01-10,183.0,80.0,6500000.0,14000.0
155887,M. Bradley,Michael Bradley,United States,USA Major League Soccer,Toronto FC,29,1987-07-31,188.0,79.0,8000000.0,10000.0
164082,Adriano,Adriano Correia Claro,Brazil,Turkish Süper Lig,Beşiktaş JK,32,1984-10-26,172.0,75.0,5500000.0,47000.0
155897,C. Dempsey,Clint Dempsey,United States,USA Major League Soccer,Seattle Sounders FC,34,1983-03-09,185.0,77.0,5000000.0,11000.0
160000,H. Briceldo,Henry Briceldo,Chile,Chilian Primera División,Colo-Colo,25,1992-02-29,188.0,83.0,10000000.0,10000.0
185090,B. Moukandjo,Benjamin Moukandjo,Cameroon,,,28,1988-11-12,180.0,74.0,0.0,0.0
195586,A. Finnbogason,Alfreð Finnbogason,Iceland,German Bundesliga,FC Augsburg,28,1989-02-01,185.0,78.0,9000000.0,33000.0
197891,Juanmi,Juan Miguel Jimenez López,Spain,Spanish Primera División,Real Sociedad,24,1993-05-20,172.0,69.0,12500000.0,30000.0
220932,L. Kalinić,Lovre Kalinić,Croatia,Belgian First Division A,KAA Gent,27,1990-04-03,201.0,99.0,7000000.0,19000.0
183556,N. Subotić,Neven Subotić,Serbia,German Bundesliga,Borussia Dortmund,28,1988-12-10,191.0,83.0,7000000.0,53000.0
200197,N. Blandi,Nicolás Blandi,Argentina,Argentinian Superliga,San Lorenzo de Almagro,27,1990-01-13,180.0,76.0,10500000.0,27000.0
210950,P. De Blasis,Pablo De Blasis,Argentina,German Bundesliga,1. FSV Mainz 05,29,1988-02-04,166.0,65.0,8500000.0,33000.0
188166,M. Phillips,Matt Phillips,Scotland,English Premier League,West Bromwich Albion,26,1991-03-13,183.0,75.0,10500000.0,68000.0
193290,M. Braithwaite,Martin Braithwaite,Denmark,English Championship,Middlesbrough,26,1991-06-05,177.0,77.0,11000000.0,24000.0
231691,A. Lafont,Alban Lafont,France,French Ligue 1,Toulouse FC,18,1999-01-23,193.0,82.0,11500000.0,10000.0
192012,D. Reyes,Diego Reyes,Mexico,Portuguese Primeira Liga,FC Porto,24,1992-09-19,189.0,74.0,10000000.0,13000.0
146701,Iván Ramis,Iván Ramis Barrios,Spain,Spanish Primera División,SD Eibar,32,1984-10-25,188.0,82.0,5000000.0,22000.0
161805,V. Behrami,Valon Behrami,Switzerland,Italian Serie A,Udinese,32,1985-04-19,185.0,78.0,5000000.0,28000.0
205070,Portu,Cristian Portugues Manzanera,Spain,Spanish Primera División,Girona CF,25,1992-05-21,178.0,70.0,11500000.0,29000.0
156432,G. Hoarau,Guillaume Hoarau,France,Swiss Super League,BSC Young Boys,33,1984-03-05,192.0,80.0,5500000.0,29000.0
52752,T. Barnetta,Tranquillo Barnetta,Switzerland,Swiss Super League,FC St. Gallen,32,1985-05-22,178.0,70.0,7000000.0,19000.0
183569,E. Choupo-Moting,Eric Maxim Choupo-Moting,Cameroon,English Premier League,Stoke City,28,1989-03-23,191.0,91.0,9000000.0,71000.0
202515,Jesé,Jesé Rodríguez Ruíz,Spain,English Premier League,Stoke City,24,1993-02-26,178.0,72.0,11500000.0,64000.0
146963,J. Pinola,Javier Pinola,Argentina,Argentinian Superliga,River Plate,34,1983-02-24,184.0,81.0,2700000.0,23000.0
205590,Luís Hernández,Luís Hernández Rodríguez,Spain,Spanish Primera División,Málaga CF,28,1989-04-14,182.0,74.0,8000000.0,26000.0
210455,Jonny,Jonathan Castro Otto,Spain,Spanish Primera División,RC Celta de Vigo,23,1994-03-03,175.0,70.0,10000000.0,21000.0
181271,B. Dočkal,Bořek Dočkal,Czech Republic,,,28,1988-09-30,182.0,72.0,0.0,0.0
230168,Raphaelito Anjos,Raphael William Anjos Rochedo,Brazil,Campeonato Brasileiro Série A,Santos Futebol Clube,29,1988-02-29,190.0,85.0,6000000.0,18000.0
184089,M. Carcela-González,Mehdi Carcela-González,Morocco,Greek Super League,Olympiakos CFP,28,1989-07-01,176.0,67.0,9000000.0,1000.0
205850,L. Pavoletti,Leonardo Pavoletti,Italy,Italian Serie A,Cagliari,28,1988-11-26,188.0,85.0,9000000.0,70000.0
230938,F. Kessié,Franck Yannick Kessié,Ivory Coast,Italian Serie A,Milan,20,1996-12-19,183.0,76.0,14000000.0,24000.0
45595,D. Bonera,Daniele Bonera,Italy,Spanish Primera División,Villarreal CF,36,1981-05-31,183.0,74.0,1200000.0,23000.0
205340,Marcelo,Marcelo dos Santos Ferreira,Brazil,Portuguese Primeira Liga,Rio Ave FC,27,1989-07-27,182.0,74.0,7500000.0,11000.0
